 t/Myrs     M/M⊙       R/cm       L/L⊙       lam_g1  lam_b1  lam_h1  lam_g2     lam_b2     lam_h2     
 2.439e+00  4.299e+02  1.819e+14  1.990e+07  nan     nan     nan     6.366e-02  3.458e-01  -7.168e-01 
 2.439e+00  4.299e+02  1.820e+14  1.991e+07  nan     nan     nan     6.689e-02  3.489e-01  -8.528e-01 
 2.439e+00  4.299e+02  1.820e+14  1.992e+07  nan     nan     nan     7.171e-02  3.912e-01  -7.990e-01 
 2.439e+00  4.299e+02  1.821e+14  1.993e+07  nan     nan     nan     6.709e-02  3.519e-01  -8.430e-01 
 2.439e+00  4.299e+02  1.821e+14  1.994e+07  nan     nan     nan     6.950e-02  3.902e-01  -7.202e-01 
 2.439e+00  4.299e+02  1.821e+14  1.995e+07  nan     nan     nan     6.449e-02  3.516e-01  -7.221e-01 
 2.439e+00  4.299e+02  1.822e+14  1.995e+07  nan     nan     nan     8.212e-02  3.976e-01  -1.433e+00 
 2.439e+00  4.299e+02  1.822e+14  1.996e+07  nan     nan     nan     7.872e-02  4.033e-01  -1.083e+00 
 2.439e+00  4.299e+02  1.823e+14  1.997e+07  nan     nan     nan     6.998e-02  3.991e-01  -6.998e-01 
 2.439e+00  4.299e+02  1.823e+14  1.997e+07  nan     nan     nan     6.798e-02  3.803e-01  -7.089e-01 
 2.439e+00  4.299e+02  1.823e+14  1.998e+07  nan     nan     nan     6.381e-02  3.462e-01  -7.204e-01 
 2.439e+00  4.299e+02  1.824e+14  1.999e+07  nan     nan     nan     7.158e-02  3.866e-01  -8.205e-01 
 2.439e+00  4.299e+02  1.824e+14  1.999e+07  nan     nan     nan     7.116e-02  3.922e-01  -7.719e-01 
 2.439e+00  4.299e+02  1.824e+14  2.000e+07  nan     nan     nan     6.960e-02  3.882e-01  -7.329e-01 
 2.439e+00  4.299e+02  1.825e+14  2.000e+07  nan     nan     nan     6.461e-02  3.523e-01  -7.235e-01 
 2.439e+00  4.299e+02  1.825e+14  2.001e+07  nan     nan     nan     8.220e-02  3.997e-01  -1.407e+00 
 2.439e+00  4.299e+02  1.825e+14  2.001e+07  nan     nan     nan     6.999e-02  3.992e-01  -6.998e-01 
 2.439e+00  4.299e+02  1.825e+14  2.002e+07  nan     nan     nan     6.961e-02  3.860e-01  -7.442e-01 
 2.439e+00  4.299e+02  1.826e+14  2.002e+07  nan     nan     nan     5.452e-02  3.401e-01  -4.496e-01 
 2.439e+00  4.299e+02  1.826e+14  2.002e+07  nan     nan     nan     8.141e-02  3.858e-01  -1.575e+00 
 2.439e+00  4.299e+02  1.826e+14  2.003e+07  nan     nan     nan     6.850e-02  3.842e-01  -7.088e-01 
 2.439e+00  4.299e+02  1.826e+14  2.003e+07  nan     nan     nan     6.643e-02  3.525e-01  -8.041e-01 
 2.439e+00  4.299e+02  1.826e+14  2.003e+07  nan     nan     nan     6.486e-02  3.488e-01  -7.543e-01 
 2.439e+00  4.299e+02  1.826e+14  2.004e+07  nan     nan     nan     6.394e-02  3.515e-01  -6.994e-01 
 2.439e+00  4.299e+02  1.827e+14  2.004e+07  nan     nan     nan     8.213e-02  4.003e-01  -1.390e+00 
 2.439e+00  4.299e+02  1.827e+14  2.004e+07  nan     nan     nan     7.019e-02  3.997e-01  -7.045e-01 
