 t/Myrs     M/M⊙       R/cm       L/L⊙       lam_g1     lam_b1     lam_h1     lam_g2     lam_b2     lam_h2    
 3.976e+01  7.500e+00  4.285e+12  6.279e+03  3.770e-02  6.587e-02  1.191e-01  2.989e-02  5.373e-02  1.029e-01 
 3.976e+01  7.500e+00  4.340e+12  6.260e+03  3.762e-02  6.576e-02  1.190e-01  2.973e-02  5.346e-02  1.024e-01 
 3.976e+01  7.500e+00  4.396e+12  6.240e+03  3.750e-02  6.560e-02  1.188e-01  2.960e-02  5.326e-02  1.021e-01 
 3.976e+01  7.500e+00  4.453e+12  6.221e+03  3.737e-02  6.541e-02  1.185e-01  2.950e-02  5.311e-02  1.019e-01 
 3.976e+01  7.500e+00  4.510e+12  6.201e+03  3.729e-02  6.530e-02  1.184e-01  2.940e-02  5.294e-02  1.016e-01 
 3.976e+01  7.500e+00  4.568e+12  6.182e+03  3.718e-02  6.515e-02  1.183e-01  2.922e-02  5.264e-02  1.011e-01 
 3.976e+01  7.500e+00  4.627e+12  6.162e+03  3.707e-02  6.500e-02  1.181e-01  2.910e-02  5.245e-02  1.008e-01 
 3.976e+01  7.500e+00  4.686e+12  6.142e+03  3.696e-02  6.485e-02  1.179e-01  2.897e-02  5.225e-02  1.005e-01 
 3.976e+01  7.500e+00  4.746e+12  6.122e+03  3.689e-02  6.476e-02  1.178e-01  2.887e-02  5.209e-02  1.002e-01 
 3.976e+01  7.500e+00  4.807e+12  6.101e+03  3.678e-02  6.462e-02  1.177e-01  2.875e-02  5.190e-02  9.992e-02 
 3.976e+01  7.500e+00  4.869e+12  6.081e+03  3.668e-02  6.448e-02  1.175e-01  2.858e-02  5.162e-02  9.944e-02 
 3.976e+01  7.500e+00  4.931e+12  6.060e+03  3.460e-02  6.126e-02  1.132e-01  2.734e-02  4.959e-02  9.636e-02 
 3.976e+01  7.500e+00  4.993e+12  6.039e+03  3.389e-02  6.023e-02  1.121e-01  2.688e-02  4.886e-02  9.541e-02 
 3.976e+01  7.500e+00  5.057e+12  6.018e+03  4.208e-02  7.246e-02  1.267e-01  2.569e-02  4.686e-02  9.218e-02 
 3.976e+01  7.500e+00  5.121e+12  5.997e+03  4.196e-02  7.230e-02  1.266e-01  2.560e-02  4.673e-02  9.197e-02 
 3.976e+01  7.500e+00  5.185e+12  5.976e+03  3.313e-02  5.903e-02  1.102e-01  2.627e-02  4.783e-02  9.363e-02 
 3.976e+01  7.500e+00  5.250e+12  5.954e+03  3.317e-02  5.912e-02  1.105e-01  2.621e-02  4.775e-02  9.355e-02 
 3.976e+01  7.500e+00  5.316e+12  5.932e+03  3.308e-02  5.901e-02  1.104e-01  2.611e-02  4.759e-02  9.328e-02 
 3.976e+01  7.500e+00  5.383e+12  5.910e+03  3.299e-02  5.889e-02  1.103e-01  2.601e-02  4.743e-02  9.303e-02 
 3.976e+01  7.500e+00  5.450e+12  5.887e+03  3.257e-02  5.828e-02  1.096e-01  2.569e-02  4.692e-02  9.233e-02 
 3.976e+01  7.500e+00  5.518e+12  5.864e+03  3.249e-02  5.818e-02  1.096e-01  2.559e-02  4.677e-02  9.209e-02 
 3.976e+01  7.500e+00  5.586e+12  5.841e+03  3.241e-02  5.808e-02  1.095e-01  2.550e-02  4.662e-02  9.186e-02 
 3.976e+01  7.500e+00  5.655e+12  5.818e+03  3.286e-02  5.884e-02  1.107e-01  2.568e-02  4.694e-02  9.235e-02 
 3.976e+01  7.500e+00  5.724e+12  5.794e+03  3.279e-02  5.876e-02  1.106e-01  2.559e-02  4.680e-02  9.214e-02 
 3.976e+01  7.500e+00  5.795e+12  5.770e+03  3.236e-02  5.812e-02  1.099e-01  2.530e-02  4.633e-02  9.149e-02 
 3.976e+01  7.500e+00  5.865e+12  5.745e+03  4.201e-02  7.289e-02  1.285e-01  2.501e-02  4.586e-02  9.080e-02 
 3.976e+01  7.500e+00  5.935e+12  5.720e+03  3.198e-02  5.760e-02  1.095e-01  2.497e-02  4.581e-02  9.075e-02 
 3.976e+01  7.500e+00  6.006e+12  5.694e+03  3.198e-02  5.764e-02  1.096e-01  2.492e-02  4.575e-02  9.068e-02 
 3.976e+01  7.500e+00  6.077e+12  5.668e+03  3.195e-02  5.764e-02  1.098e-01  2.484e-02  4.562e-02  9.049e-02 
 3.976e+01  7.500e+00  6.148e+12  5.641e+03  3.272e-02  5.892e-02  1.117e-01  2.524e-02  4.631e-02  9.163e-02 
 3.976e+01  7.500e+00  6.217e+12  5.614e+03  4.145e-02  7.238e-02  1.288e-01  2.447e-02  4.503e-02  8.959e-02 
 3.976e+01  7.500e+00  6.285e+12  5.585e+03  4.154e-02  7.262e-02  1.294e-01  2.446e-02  4.503e-02  8.965e-02 
 3.976e+01  7.500e+00  6.352e+12  5.555e+03  4.164e-02  7.288e-02  1.301e-01  2.449e-02  4.511e-02  8.988e-02 
 3.976e+01  7.500e+00  6.416e+12  5.523e+03  3.170e-02  5.749e-02  1.104e-01  2.455e-02  4.524e-02  9.022e-02 
 3.976e+01  7.500e+00  6.481e+12  5.489e+03  4.161e-02  7.317e-02  1.315e-01  2.432e-02  4.490e-02  8.980e-02 
 3.976e+01  7.500e+00  6.543e+12  5.453e+03  4.189e-02  7.375e-02  1.328e-01  2.439e-02  4.506e-02  9.021e-02 
 3.976e+01  7.500e+00  6.605e+12  5.414e+03  4.136e-02  7.325e-02  1.333e-01  2.398e-02  4.441e-02  8.935e-02 
 3.976e+01  7.500e+00  6.665e+12  5.372e+03  4.093e-02  7.279e-02  1.334e-01  2.367e-02  4.391e-02  8.857e-02 
 3.976e+01  7.500e+00  6.723e+12  5.327e+03  4.233e-02  7.526e-02  1.378e-01  2.432e-02  4.513e-02  9.108e-02 
 3.976e+01  7.500e+00  6.778e+12  5.279e+03  4.379e-02  7.780e-02  1.420e-01  2.495e-02  4.631e-02  9.338e-02 
 3.976e+01  7.500e+00  6.830e+12  5.228e+03  3.896e-02  7.056e-02  1.339e-01  2.216e-02  4.136e-02  8.448e-02 
 3.976e+01  7.500e+00  6.878e+12  5.173e+03  4.518e-02  8.069e-02  1.483e-01  2.543e-02  4.733e-02  9.580e-02 
 3.976e+01  7.500e+00  6.921e+12  5.115e+03  4.577e-02  8.206e-02  1.518e-01  2.565e-02  4.781e-02  9.703e-02 
 3.977e+01  7.500e+00  6.956e+12  5.054e+03  3.875e-02  7.118e-02  1.387e-01  2.175e-02  4.074e-02  8.371e-02 
 3.977e+01  7.500e+00  6.988e+12  4.993e+03  3.706e-02  6.864e-02  1.361e-01  2.752e-02  5.142e-02  1.045e-01 
 3.977e+01  7.500e+00  7.013e+12  4.924e+03  3.904e-02  7.248e-02  1.439e-01  2.864e-02  5.356e-02  1.089e-01 
 3.977e+01  7.500e+00  7.035e+12  4.845e+03  4.100e-02  7.637e-02  1.522e-01  2.259e-02  4.245e-02  8.746e-02 
 3.977e+01  7.500e+00  7.055e+12  4.759e+03  4.430e-02  8.266e-02  1.646e-01  2.421e-02  4.560e-02  9.414e-02 
 3.977e+01  7.500e+00  7.077e+12  4.672e+03  4.722e-02  8.838e-02  1.763e-01  2.559e-02  4.827e-02  9.967e-02 
 3.977e+01  7.500e+00  7.104e+12  4.592e+03  5.059e-02  9.498e-02  1.896e-01  2.712e-02  5.122e-02  1.056e-01 
 3.977e+01  7.500e+00  7.144e+12  4.525e+03  5.423e-02  1.025e-01  2.064e-01  2.859e-02  5.410e-02  1.117e-01 
 3.977e+01  7.500e+00  7.207e+12  4.483e+03  5.866e-02  1.112e-01  2.235e-01  3.047e-02  5.769e-02  1.186e-01 
 3.977e+01  7.500e+00  7.305e+12  4.478e+03  6.398e-02  1.216e-01  2.431e-01  3.268e-02  6.189e-02  1.266e-01 
 3.977e+01  7.500e+00  7.450e+12  4.522e+03  7.429e-02  1.417e-01  2.818e-01  2.742e-02  5.177e-02  1.054e-01 
 3.977e+01  7.500e+00  7.648e+12  4.622e+03  5.843e-02  1.125e-01  2.298e-01  2.995e-02  5.665e-02  1.149e-01 
 3.977e+01  7.500e+00  7.901e+12  4.779e+03  7.245e-02  1.399e-01  2.826e-01  2.637e-02  4.959e-02  9.949e-02 
 3.977e+01  7.500e+00  8.167e+12  4.966e+03  6.259e-02  1.211e-01  2.451e-01  3.175e-02  6.010e-02  1.208e-01 
 3.977e+01  7.500e+00  8.415e+12  5.151e+03  5.755e-02  1.118e-01  2.283e-01  2.962e-02  5.605e-02  1.125e-01 
 3.977e+01  7.500e+00  8.637e+12  5.324e+03  5.401e-02  1.050e-01  2.154e-01  2.811e-02  5.314e-02  1.064e-01 
 3.977e+01  7.500e+00  8.839e+12  5.484e+03  7.208e-02  1.407e-01  2.831e-01  2.705e-02  5.110e-02  1.021e-01 
 3.977e+01  7.500e+00  9.025e+12  5.635e+03  6.860e-02  1.344e-01  2.727e-01  2.586e-02  4.878e-02  9.711e-02 
 3.977e+01  7.500e+00  9.201e+12  5.780e+03  6.621e-02  1.301e-01  2.653e-01  2.519e-02  4.750e-02  9.438e-02 
 3.977e+01  7.500e+00  9.372e+12  5.922e+03  6.294e-02  1.241e-01  2.545e-01  2.427e-02  4.574e-02  9.067e-02 
 3.977e+01  7.500e+00  9.540e+12  6.065e+03  6.155e-02  1.215e-01  2.500e-01  2.370e-02  4.461e-02  8.816e-02 
 3.977e+01  7.500e+00  9.706e+12  6.207e+03  5.955e-02  1.179e-01  2.432e-01  2.316e-02  4.359e-02  8.603e-02 
 3.977e+01  7.500e+00  9.872e+12  6.351e+03  5.794e-02  1.149e-01  2.382e-01  2.957e-02  5.629e-02  1.124e-01 
 3.977e+01  7.500e+00  1.004e+13  6.495e+03  5.591e-02  1.112e-01  2.316e-01  2.886e-02  5.500e-02  1.099e-01 
 3.977e+01  7.500e+00  1.020e+13  6.639e+03  5.484e-02  1.092e-01  2.276e-01  2.832e-02  5.394e-02  1.077e-01 
 3.977e+01  7.500e+00  1.036e+13  6.783e+03  5.335e-02  1.065e-01  2.228e-01  2.773e-02  5.288e-02  1.056e-01 
 3.977e+01  7.500e+00  1.052e+13  6.925e+03  5.207e-02  1.040e-01  2.178e-01  2.708e-02  5.160e-02  1.029e-01 
 3.977e+01  7.500e+00  1.068e+13  7.069e+03  5.103e-02  1.022e-01  2.150e-01  2.672e-02  5.097e-02  1.017e-01 
 3.977e+01  7.500e+00  1.083e+13  7.207e+03  5.026e-02  1.007e-01  2.118e-01  2.629e-02  5.013e-02  9.991e-02 
 3.977e+01  7.500e+00  1.098e+13  7.350e+03  4.922e-02  9.895e-02  2.095e-01  2.599e-02  4.969e-02  9.933e-02 
 3.977e+01  7.500e+00  1.113e+13  7.485e+03  4.852e-02  9.755e-02  2.064e-01  2.560e-02  4.890e-02  9.758e-02 
 3.977e+01  7.500e+00  1.128e+13  7.625e+03  4.777e-02  9.601e-02  2.030e-01  2.517e-02  4.804e-02  9.570e-02 
 3.977e+01  7.500e+00  1.142e+13  7.753e+03  4.767e-02  9.594e-02  2.029e-01  2.516e-02  4.805e-02  9.569e-02 
 3.977e+01  7.500e+00  1.156e+13  7.887e+03  4.688e-02  9.457e-02  2.008e-01  2.482e-02  4.746e-02  9.458e-02 
 3.977e+01  7.500e+00  1.168e+13  8.006e+03  6.302e-02  1.296e-01  2.774e-01  2.443e-02  4.668e-02  9.291e-02 
 3.977e+01  7.500e+00  1.181e+13  8.124e+03  6.721e-02  1.371e-01  2.881e-01  2.493e-02  4.743e-02  9.371e-02 
 3.977e+01  7.500e+00  1.193e+13  8.241e+03  6.140e-02  1.270e-01  2.746e-01  2.400e-02  4.594e-02  9.156e-02 
 3.977e+01  7.500e+00  1.204e+13  8.344e+03  6.632e-02  1.356e-01  2.862e-01  2.453e-02  4.667e-02  9.210e-02 
 3.977e+01  7.500e+00  1.214e+13  8.443e+03  6.062e-02  1.258e-01  2.735e-01  2.363e-02  4.525e-02  9.014e-02 
 3.978e+01  7.500e+00  1.224e+13  8.539e+03  6.462e-02  1.325e-01  2.807e-01  2.420e-02  4.611e-02  9.108e-02 
 3.978e+01  7.500e+00  1.233e+13  8.622e+03  6.454e-02  1.325e-01  2.810e-01  2.416e-02  4.604e-02  9.095e-02 
 3.978e+01  7.500e+00  1.240e+13  8.695e+03  6.418e-02  1.320e-01  2.808e-01  2.403e-02  4.582e-02  9.053e-02 
 3.978e+01  7.500e+00  1.247e+13  8.759e+03  6.383e-02  1.313e-01  2.792e-01  2.382e-02  4.540e-02  8.961e-02 
 3.978e+01  7.500e+00  1.252e+13  8.825e+03  6.372e-02  1.312e-01  2.792e-01  2.379e-02  4.535e-02  8.951e-02 
 3.978e+01  7.500e+00  1.258e+13  8.868e+03  6.367e-02  1.312e-01  2.790e-01  2.393e-02  4.567e-02  9.023e-02 
 3.978e+01  7.500e+00  1.263e+13  8.919e+03  6.329e-02  1.303e-01  2.772e-01  2.376e-02  4.532e-02  8.946e-02 
 3.978e+01  7.500e+00  1.268e+13  8.966e+03  5.806e-02  1.215e-01  2.675e-01  2.306e-02  4.436e-02  8.872e-02 
 3.978e+01  7.500e+00  1.273e+13  9.010e+03  5.794e-02  1.213e-01  2.670e-01  2.294e-02  4.414e-02  8.820e-02 
 3.978e+01  7.500e+00  1.278e+13  9.054e+03  5.792e-02  1.214e-01  2.675e-01  2.294e-02  4.414e-02  8.823e-02 
 3.978e+01  7.500e+00  1.282e+13  9.104e+03  6.255e-02  1.293e-01  2.764e-01  2.348e-02  4.487e-02  8.864e-02 
 3.978e+01  7.500e+00  1.287e+13  9.152e+03  6.248e-02  1.292e-01  2.762e-01  2.341e-02  4.473e-02  8.832e-02 
 3.978e+01  7.500e+00  1.292e+13  9.199e+03  5.721e-02  1.203e-01  2.665e-01  2.265e-02  4.363e-02  8.726e-02 
 3.978e+01  7.500e+00  1.297e+13  9.247e+03  5.700e-02  1.198e-01  2.655e-01  2.258e-02  4.350e-02  8.702e-02 
 3.978e+01  7.500e+00  1.302e+13  9.299e+03  6.107e-02  1.268e-01  2.730e-01  2.325e-02  4.454e-02  8.825e-02 
 3.978e+01  7.500e+00  1.307e+13  9.352e+03  6.089e-02  1.265e-01  2.725e-01  2.318e-02  4.443e-02  8.800e-02 
 3.978e+01  7.500e+00  1.313e+13  9.409e+03  6.076e-02  1.263e-01  2.720e-01  2.309e-02  4.425e-02  8.759e-02 
 3.978e+01  7.500e+00  1.319e+13  9.465e+03  6.053e-02  1.258e-01  2.712e-01  2.304e-02  4.418e-02  8.752e-02 
 3.978e+01  7.500e+00  1.324e+13  9.523e+03  6.035e-02  1.257e-01  2.715e-01  2.296e-02  4.406e-02  8.728e-02 
 3.978e+01  7.500e+00  1.330e+13  9.580e+03  5.955e-02  1.242e-01  2.695e-01  2.275e-02  4.366e-02  8.653e-02 
 3.978e+01  7.500e+00  1.337e+13  9.644e+03  5.939e-02  1.239e-01  2.689e-01  2.261e-02  4.337e-02  8.587e-02 
 3.978e+01  7.500e+00  1.343e+13  9.705e+03  5.919e-02  1.236e-01  2.681e-01  2.258e-02  4.334e-02  8.585e-02 
 3.979e+01  7.500e+00  1.348e+13  9.766e+03  5.842e-02  1.225e-01  2.677e-01  2.265e-02  4.361e-02  8.670e-02 
 3.979e+01  7.500e+00  1.354e+13  9.826e+03  5.825e-02  1.222e-01  2.671e-01  2.256e-02  4.344e-02  8.630e-02 
 3.979e+01  7.500e+00  1.361e+13  9.894e+03  5.804e-02  1.218e-01  2.662e-01  2.244e-02  4.322e-02  8.582e-02 
 3.979e+01  7.500e+00  1.367e+13  9.958e+03  5.764e-02  1.212e-01  2.657e-01  2.232e-02  4.299e-02  8.538e-02 
 3.979e+01  7.500e+00  1.373e+13  1.002e+04  5.761e-02  1.212e-01  2.658e-01  2.227e-02  4.289e-02  8.511e-02 
 3.979e+01  7.500e+00  1.379e+13  1.008e+04  5.728e-02  1.205e-01  2.642e-01  2.217e-02  4.271e-02  8.477e-02 
 3.979e+01  7.500e+00  1.385e+13  1.014e+04  5.721e-02  1.204e-01  2.640e-01  2.214e-02  4.265e-02  8.458e-02 
 3.979e+01  7.500e+00  1.390e+13  1.020e+04  5.707e-02  1.201e-01  2.633e-01  2.203e-02  4.241e-02  8.398e-02 
 3.979e+01  7.500e+00  1.395e+13  1.025e+04  5.707e-02  1.201e-01  2.636e-01  2.200e-02  4.234e-02  8.378e-02 
 3.979e+01  7.500e+00  1.399e+13  1.030e+04  5.603e-02  1.186e-01  2.627e-01  2.205e-02  4.261e-02  8.482e-02 
 3.979e+01  7.500e+00  1.403e+13  1.034e+04  5.595e-02  1.184e-01  2.622e-01  2.195e-02  4.237e-02  8.421e-02 
 3.979e+01  7.500e+00  1.407e+13  1.037e+04  5.592e-02  1.184e-01  2.622e-01  2.195e-02  4.240e-02  8.432e-02 
 3.979e+01  7.500e+00  1.410e+13  1.040e+04  5.575e-02  1.180e-01  2.611e-01  2.189e-02  4.226e-02  8.395e-02 
 3.980e+01  7.500e+00  1.413e+13  1.044e+04  5.569e-02  1.179e-01  2.611e-01  2.184e-02  4.215e-02  8.368e-02 
 3.980e+01  7.500e+00  1.415e+13  1.046e+04  5.569e-02  1.180e-01  2.613e-01  2.187e-02  4.224e-02  8.392e-02 
 3.980e+01  7.500e+00  1.418e+13  1.049e+04  5.560e-02  1.178e-01  2.609e-01  2.179e-02  4.208e-02  8.353e-02 
 3.980e+01  7.500e+00  1.421e+13  1.052e+04  5.554e-02  1.177e-01  2.606e-01  2.177e-02  4.204e-02  8.345e-02 
 3.980e+01  7.500e+00  1.423e+13  1.055e+04  5.548e-02  1.176e-01  2.603e-01  2.176e-02  4.202e-02  8.337e-02 
 3.980e+01  7.500e+00  1.426e+13  1.057e+04  5.533e-02  1.172e-01  2.596e-01  2.174e-02  4.199e-02  8.338e-02 
 3.980e+01  7.500e+00  1.428e+13  1.060e+04  5.530e-02  1.172e-01  2.594e-01  2.166e-02  4.180e-02  8.286e-02 
 3.980e+01  7.500e+00  1.430e+13  1.062e+04  5.527e-02  1.172e-01  2.595e-01  2.166e-02  4.183e-02  8.298e-02 
 3.981e+01  7.500e+00  1.432e+13  1.064e+04  5.518e-02  1.169e-01  2.589e-01  2.159e-02  4.168e-02  8.264e-02 
 3.981e+01  7.500e+00  1.433e+13  1.066e+04  5.516e-02  1.169e-01  2.590e-01  2.157e-02  4.161e-02  8.243e-02 
 3.981e+01  7.500e+00  1.435e+13  1.067e+04  5.512e-02  1.168e-01  2.588e-01  2.160e-02  4.169e-02  8.264e-02 
 3.981e+01  7.500e+00  1.436e+13  1.068e+04  5.507e-02  1.167e-01  2.586e-01  2.157e-02  4.162e-02  8.245e-02 
 3.982e+01  7.500e+00  1.436e+13  1.069e+04  5.501e-02  1.166e-01  2.582e-01  2.153e-02  4.154e-02  8.230e-02 
 3.982e+01  7.500e+00  1.436e+13  1.069e+04  5.504e-02  1.167e-01  2.585e-01  2.158e-02  4.166e-02  8.258e-02 
 3.982e+01  7.500e+00  1.436e+13  1.069e+04  5.506e-02  1.167e-01  2.586e-01  2.162e-02  4.173e-02  8.276e-02 
 3.983e+01  7.500e+00  1.435e+13  1.068e+04  5.511e-02  1.168e-01  2.589e-01  2.157e-02  4.162e-02  8.249e-02 
 3.983e+01  7.500e+00  1.434e+13  1.067e+04  5.510e-02  1.168e-01  2.588e-01  2.157e-02  4.162e-02  8.247e-02 
