 t/Myrs     M/M⊙       R/cm       L/L⊙       lam_g1     lam_b1     lam_h1      lam_g2     lam_b2     lam_h2    
 9.749e-01  1.799e+01  3.613e+11  3.386e+04  1.160e-01  1.686e-01  2.338e-01   1.160e-01  1.686e-01  2.338e-01 
 1.000e+00  1.799e+01  3.618e+11  3.392e+04  1.155e-01  1.687e-01  2.350e-01   1.155e-01  1.687e-01  2.350e-01 
 1.025e+00  1.799e+01  3.622e+11  3.397e+04  1.154e-01  1.686e-01  2.349e-01   1.154e-01  1.686e-01  2.349e-01 
 1.050e+00  1.799e+01  3.626e+11  3.402e+04  1.154e-01  1.685e-01  2.349e-01   1.154e-01  1.685e-01  2.349e-01 
 1.075e+00  1.799e+01  3.630e+11  3.407e+04  1.153e-01  1.685e-01  2.350e-01   1.153e-01  1.685e-01  2.350e-01 
 1.100e+00  1.799e+01  3.635e+11  3.413e+04  1.153e-01  1.684e-01  2.348e-01   1.153e-01  1.684e-01  2.348e-01 
 1.125e+00  1.799e+01  3.639e+11  3.418e+04  1.152e-01  1.684e-01  2.349e-01   1.152e-01  1.684e-01  2.349e-01 
 1.150e+00  1.799e+01  3.643e+11  3.423e+04  1.152e-01  1.683e-01  2.348e-01   1.152e-01  1.683e-01  2.348e-01 
 1.174e+00  1.799e+01  3.647e+11  3.429e+04  1.151e-01  1.683e-01  2.347e-01   1.151e-01  1.683e-01  2.347e-01 
 1.199e+00  1.799e+01  3.651e+11  3.434e+04  1.150e-01  1.682e-01  2.347e-01   1.150e-01  1.682e-01  2.347e-01 
 1.224e+00  1.799e+01  3.655e+11  3.440e+04  1.150e-01  1.682e-01  2.347e-01   1.150e-01  1.682e-01  2.347e-01 
 1.248e+00  1.799e+01  3.659e+11  3.445e+04  1.149e-01  1.681e-01  2.347e-01   1.149e-01  1.681e-01  2.347e-01 
 1.273e+00  1.799e+01  3.663e+11  3.450e+04  1.148e-01  1.680e-01  2.345e-01   1.148e-01  1.680e-01  2.345e-01 
 1.298e+00  1.799e+01  3.667e+11  3.456e+04  1.148e-01  1.680e-01  2.346e-01   1.148e-01  1.680e-01  2.346e-01 
 1.322e+00  1.799e+01  3.671e+11  3.461e+04  1.148e-01  1.680e-01  2.346e-01   1.148e-01  1.680e-01  2.346e-01 
 1.347e+00  1.799e+01  3.675e+11  3.466e+04  1.147e-01  1.678e-01  2.344e-01   1.147e-01  1.678e-01  2.344e-01 
 1.371e+00  1.799e+01  3.679e+11  3.472e+04  1.149e-01  1.682e-01  2.348e-01   1.149e-01  1.682e-01  2.348e-01 
 1.396e+00  1.799e+01  3.683e+11  3.477e+04  1.148e-01  1.681e-01  2.348e-01   1.148e-01  1.681e-01  2.348e-01 
 1.420e+00  1.799e+01  3.687e+11  3.483e+04  1.133e-01  1.659e-01  2.319e-01   1.133e-01  1.659e-01  2.319e-01 
 1.444e+00  1.798e+01  3.691e+11  3.488e+04  1.133e-01  1.659e-01  2.318e-01   1.133e-01  1.659e-01  2.318e-01 
 1.469e+00  1.798e+01  3.695e+11  3.494e+04  1.146e-01  1.679e-01  2.347e-01   1.146e-01  1.679e-01  2.347e-01 
 1.493e+00  1.798e+01  3.699e+11  3.499e+04  1.110e-01  1.625e-01  2.272e-01   1.110e-01  1.625e-01  2.272e-01 
 1.517e+00  1.798e+01  3.703e+11  3.504e+04  1.145e-01  1.680e-01  2.353e-01   1.145e-01  1.680e-01  2.353e-01 
 1.541e+00  1.798e+01  3.707e+11  3.510e+04  1.146e-01  1.683e-01  2.358e-01   1.146e-01  1.683e-01  2.358e-01 
 1.565e+00  1.798e+01  3.711e+11  3.515e+04  1.146e-01  1.682e-01  2.358e-01   1.146e-01  1.682e-01  2.358e-01 
 1.589e+00  1.798e+01  3.715e+11  3.521e+04  1.145e-01  1.682e-01  2.358e-01   1.145e-01  1.682e-01  2.358e-01 
 1.613e+00  1.798e+01  3.719e+11  3.526e+04  1.142e-01  1.676e-01  2.350e-01   1.142e-01  1.676e-01  2.350e-01 
 1.637e+00  1.798e+01  3.723e+11  3.531e+04  1.141e-01  1.676e-01  2.349e-01   1.141e-01  1.676e-01  2.349e-01 
 1.660e+00  1.798e+01  3.726e+11  3.537e+04  1.141e-01  1.675e-01  2.349e-01   1.141e-01  1.675e-01  2.349e-01 
 1.684e+00  1.798e+01  3.730e+11  3.542e+04  1.140e-01  1.675e-01  2.349e-01   1.140e-01  1.675e-01  2.349e-01 
 1.708e+00  1.798e+01  3.734e+11  3.548e+04  1.140e-01  1.674e-01  2.349e-01   1.140e-01  1.674e-01  2.349e-01 
 1.732e+00  1.798e+01  3.738e+11  3.553e+04  1.110e-01  1.641e-01  2.320e-01   1.110e-01  1.641e-01  2.320e-01 
 1.755e+00  1.798e+01  3.742e+11  3.559e+04  1.118e-01  1.655e-01  2.341e-01   1.118e-01  1.655e-01  2.341e-01 
 1.779e+00  1.798e+01  3.746e+11  3.564e+04  1.118e-01  1.655e-01  2.341e-01   1.118e-01  1.655e-01  2.341e-01 
 1.802e+00  1.798e+01  3.750e+11  3.569e+04  1.096e-01  1.622e-01  2.294e-01   1.096e-01  1.622e-01  2.294e-01 
 1.826e+00  1.798e+01  3.753e+11  3.575e+04  1.095e-01  1.621e-01  2.294e-01   1.095e-01  1.621e-01  2.294e-01 
 1.849e+00  1.798e+01  3.757e+11  3.580e+04  1.095e-01  1.621e-01  2.294e-01   1.095e-01  1.621e-01  2.294e-01 
 1.872e+00  1.798e+01  3.761e+11  3.586e+04  1.083e-01  1.603e-01  2.268e-01   1.083e-01  1.603e-01  2.268e-01 
 1.895e+00  1.798e+01  3.765e+11  3.591e+04  1.082e-01  1.602e-01  2.268e-01   1.082e-01  1.602e-01  2.268e-01 
 1.918e+00  1.798e+01  3.769e+11  3.596e+04  1.082e-01  1.602e-01  2.268e-01   1.082e-01  1.602e-01  2.268e-01 
 1.941e+00  1.798e+01  3.773e+11  3.602e+04  1.103e-01  1.634e-01  2.312e-01   1.103e-01  1.634e-01  2.312e-01 
 1.964e+00  1.798e+01  3.776e+11  3.607e+04  1.113e-01  1.650e-01  2.338e-01   1.113e-01  1.650e-01  2.338e-01 
 1.987e+00  1.798e+01  3.780e+11  3.612e+04  1.113e-01  1.650e-01  2.338e-01   1.113e-01  1.650e-01  2.338e-01 
 2.010e+00  1.798e+01  3.784e+11  3.618e+04  1.101e-01  1.631e-01  2.310e-01   1.101e-01  1.631e-01  2.310e-01 
 2.033e+00  1.798e+01  3.788e+11  3.623e+04  1.125e-01  1.669e-01  2.366e-01   1.125e-01  1.669e-01  2.366e-01 
 2.056e+00  1.798e+01  3.792e+11  3.629e+04  1.125e-01  1.668e-01  2.366e-01   1.125e-01  1.668e-01  2.366e-01 
 2.079e+00  1.798e+01  3.795e+11  3.634e+04  1.124e-01  1.668e-01  2.366e-01   1.124e-01  1.668e-01  2.366e-01 
 2.102e+00  1.798e+01  3.799e+11  3.640e+04  1.123e-01  1.667e-01  2.364e-01   1.123e-01  1.667e-01  2.364e-01 
 2.124e+00  1.798e+01  3.803e+11  3.645e+04  1.123e-01  1.666e-01  2.364e-01   1.123e-01  1.666e-01  2.364e-01 
 2.147e+00  1.798e+01  3.807e+11  3.650e+04  1.122e-01  1.666e-01  2.364e-01   1.122e-01  1.666e-01  2.364e-01 
 2.170e+00  1.798e+01  3.811e+11  3.656e+04  1.122e-01  1.665e-01  2.364e-01   1.122e-01  1.665e-01  2.364e-01 
 2.192e+00  1.798e+01  3.815e+11  3.661e+04  1.108e-01  1.644e-01  2.334e-01   1.108e-01  1.644e-01  2.334e-01 
 2.215e+00  1.798e+01  3.818e+11  3.667e+04  1.107e-01  1.644e-01  2.334e-01   1.107e-01  1.644e-01  2.334e-01 
 2.237e+00  1.798e+01  3.822e+11  3.672e+04  1.097e-01  1.629e-01  2.313e-01   1.097e-01  1.629e-01  2.313e-01 
 2.260e+00  1.798e+01  3.826e+11  3.677e+04  1.106e-01  1.643e-01  2.333e-01   1.106e-01  1.643e-01  2.333e-01 
 2.282e+00  1.798e+01  3.830e+11  3.683e+04  1.104e-01  1.640e-01  2.328e-01   1.104e-01  1.640e-01  2.328e-01 
 2.305e+00  1.797e+01  3.834e+11  3.688e+04  1.103e-01  1.639e-01  2.328e-01   1.103e-01  1.639e-01  2.328e-01 
 2.327e+00  1.797e+01  3.838e+11  3.694e+04  1.103e-01  1.639e-01  2.328e-01   1.103e-01  1.639e-01  2.328e-01 
 2.349e+00  1.797e+01  3.841e+11  3.699e+04  1.117e-01  1.661e-01  2.361e-01   1.117e-01  1.661e-01  2.361e-01 
 2.372e+00  1.797e+01  3.845e+11  3.705e+04  1.115e-01  1.657e-01  2.355e-01   1.115e-01  1.657e-01  2.355e-01 
 2.394e+00  1.797e+01  3.849e+11  3.710e+04  1.114e-01  1.657e-01  2.356e-01   1.114e-01  1.657e-01  2.356e-01 
 2.416e+00  1.797e+01  3.853e+11  3.716e+04  1.125e-01  1.674e-01  2.381e-01   1.125e-01  1.674e-01  2.381e-01 
 2.438e+00  1.797e+01  3.857e+11  3.721e+04  1.125e-01  1.674e-01  2.381e-01   1.125e-01  1.674e-01  2.381e-01 
 2.460e+00  1.797e+01  3.861e+11  3.726e+04  1.124e-01  1.673e-01  2.381e-01   1.124e-01  1.673e-01  2.381e-01 
 2.482e+00  1.797e+01  3.865e+11  3.732e+04  1.124e-01  1.673e-01  2.381e-01   1.124e-01  1.673e-01  2.381e-01 
 2.504e+00  1.797e+01  3.868e+11  3.737e+04  1.106e-01  1.656e-01  2.375e-01   1.106e-01  1.656e-01  2.375e-01 
 2.526e+00  1.797e+01  3.872e+11  3.743e+04  1.105e-01  1.656e-01  2.375e-01   1.105e-01  1.656e-01  2.375e-01 
 2.548e+00  1.797e+01  3.876e+11  3.748e+04  1.116e-01  1.673e-01  2.402e-01   1.116e-01  1.673e-01  2.402e-01 
 2.570e+00  1.797e+01  3.880e+11  3.754e+04  1.091e-01  1.635e-01  2.345e-01   1.091e-01  1.635e-01  2.345e-01 
 2.592e+00  1.797e+01  3.884e+11  3.759e+04  1.104e-01  1.654e-01  2.374e-01   1.104e-01  1.654e-01  2.374e-01 
 2.614e+00  1.797e+01  3.888e+11  3.765e+04  1.103e-01  1.653e-01  2.373e-01   1.103e-01  1.653e-01  2.373e-01 
 2.635e+00  1.797e+01  3.892e+11  3.770e+04  1.103e-01  1.653e-01  2.373e-01   1.103e-01  1.653e-01  2.373e-01 
 2.657e+00  1.797e+01  3.895e+11  3.776e+04  1.102e-01  1.652e-01  2.373e-01   1.102e-01  1.652e-01  2.373e-01 
 2.679e+00  1.797e+01  3.899e+11  3.781e+04  1.101e-01  1.652e-01  2.373e-01   1.101e-01  1.652e-01  2.373e-01 
 2.700e+00  1.797e+01  3.903e+11  3.786e+04  1.101e-01  1.651e-01  2.372e-01   1.101e-01  1.651e-01  2.372e-01 
 2.722e+00  1.797e+01  3.907e+11  3.792e+04  1.100e-01  1.650e-01  2.371e-01   1.100e-01  1.650e-01  2.371e-01 
 2.743e+00  1.797e+01  3.911e+11  3.797e+04  1.099e-01  1.649e-01  2.370e-01   1.099e-01  1.649e-01  2.370e-01 
 2.765e+00  1.797e+01  3.915e+11  3.803e+04  1.099e-01  1.649e-01  2.370e-01   1.099e-01  1.649e-01  2.370e-01 
 2.786e+00  1.797e+01  3.919e+11  3.808e+04  1.098e-01  1.648e-01  2.370e-01   1.098e-01  1.648e-01  2.370e-01 
 2.808e+00  1.797e+01  3.923e+11  3.814e+04  1.274e-01  1.809e-01  2.432e-01   1.274e-01  1.809e-01  2.432e-01 
 2.829e+00  1.797e+01  3.927e+11  3.819e+04  1.304e-01  1.851e-01  2.487e-01   1.304e-01  1.851e-01  2.487e-01 
 2.850e+00  1.797e+01  3.931e+11  3.825e+04  1.273e-01  1.808e-01  2.432e-01   1.273e-01  1.808e-01  2.432e-01 
 2.872e+00  1.797e+01  3.935e+11  3.830e+04  1.303e-01  1.849e-01  2.486e-01   1.303e-01  1.849e-01  2.486e-01 
 2.893e+00  1.797e+01  3.938e+11  3.836e+04  1.272e-01  1.807e-01  2.431e-01   1.272e-01  1.807e-01  2.431e-01 
 2.914e+00  1.797e+01  3.942e+11  3.841e+04  1.302e-01  1.849e-01  2.486e-01   1.302e-01  1.849e-01  2.486e-01 
 2.934e+00  1.797e+01  3.946e+11  3.846e+04  1.301e-01  1.848e-01  2.486e-01   1.301e-01  1.848e-01  2.486e-01 
 2.955e+00  1.797e+01  3.950e+11  3.852e+04  1.300e-01  1.848e-01  2.486e-01   1.300e-01  1.848e-01  2.486e-01 
 2.976e+00  1.797e+01  3.954e+11  3.857e+04  1.300e-01  1.847e-01  2.486e-01   1.300e-01  1.847e-01  2.486e-01 
 2.997e+00  1.797e+01  3.958e+11  3.863e+04  1.299e-01  1.847e-01  2.485e-01   1.299e-01  1.847e-01  2.485e-01 
 3.018e+00  1.797e+01  3.962e+11  3.868e+04  1.299e-01  1.846e-01  2.485e-01   1.299e-01  1.846e-01  2.485e-01 
 3.038e+00  1.797e+01  3.966e+11  3.874e+04  1.298e-01  1.845e-01  2.483e-01   1.298e-01  1.845e-01  2.483e-01 
 3.059e+00  1.796e+01  3.970e+11  3.879e+04  1.297e-01  1.844e-01  2.483e-01   1.297e-01  1.844e-01  2.483e-01 
 3.080e+00  1.796e+01  3.974e+11  3.884e+04  1.296e-01  1.844e-01  2.482e-01   1.296e-01  1.844e-01  2.482e-01 
 3.100e+00  1.796e+01  3.978e+11  3.890e+04  1.296e-01  1.844e-01  2.484e-01   1.296e-01  1.844e-01  2.484e-01 
 3.121e+00  1.796e+01  3.982e+11  3.896e+04  1.295e-01  1.842e-01  2.482e-01   1.295e-01  1.842e-01  2.482e-01 
 3.142e+00  1.796e+01  3.986e+11  3.902e+04  1.294e-01  1.842e-01  2.482e-01   1.294e-01  1.842e-01  2.482e-01 
 3.162e+00  1.796e+01  3.991e+11  3.908e+04  1.294e-01  1.841e-01  2.481e-01   1.294e-01  1.841e-01  2.481e-01 
 3.183e+00  1.796e+01  3.995e+11  3.914e+04  1.293e-01  1.841e-01  2.481e-01   1.293e-01  1.841e-01  2.481e-01 
 3.203e+00  1.796e+01  3.999e+11  3.920e+04  1.292e-01  1.840e-01  2.481e-01   1.292e-01  1.840e-01  2.481e-01 
 3.224e+00  1.796e+01  4.004e+11  3.926e+04  1.273e-01  1.814e-01  2.448e-01   1.273e-01  1.814e-01  2.448e-01 
