 t/Myrs     M/M⊙       R/cm       L/L⊙       lam_g1     lam_b1     lam_h1      lam_g2     lam_b2     lam_h2     
 2.193e-01  1.200e+01  2.980e+11  1.004e+04  1.128e-01  1.596e-01  2.165e-01   1.128e-01  1.596e-01  2.165e-01  
 2.329e-01  1.200e+01  2.983e+11  1.005e+04  1.127e-01  1.595e-01  2.165e-01   1.127e-01  1.595e-01  2.165e-01  
 2.482e-01  1.200e+01  2.986e+11  1.005e+04  1.127e-01  1.595e-01  2.165e-01   1.127e-01  1.595e-01  2.165e-01  
 2.653e-01  1.200e+01  2.989e+11  1.006e+04  1.127e-01  1.595e-01  2.164e-01   1.127e-01  1.595e-01  2.164e-01  
 2.844e-01  1.200e+01  2.993e+11  1.006e+04  1.127e-01  1.595e-01  2.164e-01   1.127e-01  1.595e-01  2.164e-01  
 3.058e-01  1.200e+01  2.997e+11  1.007e+04  1.113e-01  1.576e-01  2.141e-01   1.113e-01  1.576e-01  2.141e-01  
 3.297e-01  1.200e+01  3.001e+11  1.007e+04  1.113e-01  1.576e-01  2.140e-01   1.113e-01  1.576e-01  2.140e-01  
 3.564e-01  1.200e+01  3.005e+11  1.008e+04  1.125e-01  1.593e-01  2.163e-01   1.125e-01  1.593e-01  2.163e-01  
 3.862e-01  1.200e+01  3.010e+11  1.009e+04  1.125e-01  1.593e-01  2.162e-01   1.125e-01  1.593e-01  2.162e-01  
 4.196e-01  1.200e+01  3.015e+11  1.010e+04  1.124e-01  1.592e-01  2.162e-01   1.124e-01  1.592e-01  2.162e-01  
 4.569e-01  1.200e+01  3.021e+11  1.011e+04  1.124e-01  1.592e-01  2.162e-01   1.124e-01  1.592e-01  2.162e-01  
 4.984e-01  1.200e+01  3.027e+11  1.012e+04  1.140e-01  1.613e-01  2.189e-01   1.140e-01  1.613e-01  2.189e-01  
 5.421e-01  1.200e+01  3.034e+11  1.013e+04  1.146e-01  1.623e-01  2.203e-01   1.146e-01  1.623e-01  2.203e-01  
 5.869e-01  1.200e+01  3.040e+11  1.014e+04  1.139e-01  1.612e-01  2.187e-01   1.139e-01  1.612e-01  2.187e-01  
 6.323e-01  1.200e+01  3.046e+11  1.016e+04  1.138e-01  1.611e-01  2.187e-01   1.138e-01  1.611e-01  2.187e-01  
 6.779e-01  1.200e+01  3.052e+11  1.017e+04  1.144e-01  1.621e-01  2.202e-01   1.144e-01  1.621e-01  2.202e-01  
 7.237e-01  1.200e+01  3.058e+11  1.019e+04  1.162e-01  1.645e-01  2.231e-01   1.162e-01  1.645e-01  2.231e-01  
 7.695e-01  1.200e+01  3.064e+11  1.020e+04  1.162e-01  1.644e-01  2.231e-01   1.162e-01  1.644e-01  2.231e-01  
 8.154e-01  1.200e+01  3.070e+11  1.022e+04  1.161e-01  1.643e-01  2.230e-01   1.161e-01  1.643e-01  2.230e-01  
 8.612e-01  1.200e+01  3.076e+11  1.023e+04  1.160e-01  1.643e-01  2.229e-01   1.160e-01  1.643e-01  2.229e-01  
 9.070e-01  1.200e+01  3.081e+11  1.025e+04  1.160e-01  1.642e-01  2.229e-01   1.160e-01  1.642e-01  2.229e-01  
 9.527e-01  1.200e+01  3.087e+11  1.026e+04  1.159e-01  1.641e-01  2.228e-01   1.159e-01  1.641e-01  2.228e-01  
 9.983e-01  1.200e+01  3.092e+11  1.028e+04  1.158e-01  1.641e-01  2.228e-01   1.158e-01  1.641e-01  2.228e-01  
 1.044e+00  1.200e+01  3.097e+11  1.029e+04  1.131e-01  1.604e-01  2.182e-01   1.131e-01  1.604e-01  2.182e-01  
 1.089e+00  1.200e+01  3.102e+11  1.031e+04  1.131e-01  1.604e-01  2.181e-01   1.131e-01  1.604e-01  2.181e-01  
 1.135e+00  1.200e+01  3.108e+11  1.032e+04  1.130e-01  1.603e-01  2.181e-01   1.130e-01  1.603e-01  2.181e-01  
 1.180e+00  1.200e+01  3.113e+11  1.034e+04  1.129e-01  1.602e-01  2.180e-01   1.129e-01  1.602e-01  2.180e-01  
 1.225e+00  1.200e+01  3.117e+11  1.035e+04  1.129e-01  1.602e-01  2.180e-01   1.129e-01  1.602e-01  2.180e-01  
 1.270e+00  1.200e+01  3.122e+11  1.037e+04  1.128e-01  1.601e-01  2.179e-01   1.128e-01  1.601e-01  2.179e-01  
 1.315e+00  1.200e+01  3.127e+11  1.038e+04  1.128e-01  1.600e-01  2.178e-01   1.128e-01  1.600e-01  2.178e-01  
 1.360e+00  1.200e+01  3.132e+11  1.040e+04  1.127e-01  1.600e-01  2.178e-01   1.127e-01  1.600e-01  2.178e-01  
 1.404e+00  1.200e+01  3.137e+11  1.042e+04  1.126e-01  1.599e-01  2.177e-01   1.126e-01  1.599e-01  2.177e-01  
 1.449e+00  1.200e+01  3.141e+11  1.043e+04  1.126e-01  1.599e-01  2.177e-01   1.126e-01  1.599e-01  2.177e-01  
 1.494e+00  1.200e+01  3.146e+11  1.045e+04  1.108e-01  1.575e-01  2.147e-01   1.108e-01  1.575e-01  2.147e-01  
 1.538e+00  1.200e+01  3.151e+11  1.046e+04  1.107e-01  1.574e-01  2.147e-01   1.107e-01  1.574e-01  2.147e-01  
 1.583e+00  1.200e+01  3.155e+11  1.048e+04  1.124e-01  1.597e-01  2.175e-01   1.124e-01  1.597e-01  2.175e-01  
 1.627e+00  1.200e+01  3.160e+11  1.050e+04  1.123e-01  1.596e-01  2.175e-01   1.123e-01  1.596e-01  2.175e-01  
 1.671e+00  1.200e+01  3.164e+11  1.051e+04  1.123e-01  1.595e-01  2.174e-01   1.123e-01  1.595e-01  2.174e-01  
 1.716e+00  1.200e+01  3.168e+11  1.053e+04  1.122e-01  1.595e-01  2.174e-01   1.122e-01  1.595e-01  2.174e-01  
 1.760e+00  1.200e+01  3.173e+11  1.055e+04  1.122e-01  1.594e-01  2.173e-01   1.122e-01  1.594e-01  2.173e-01  
 1.804e+00  1.200e+01  3.177e+11  1.056e+04  1.104e-01  1.570e-01  2.144e-01   1.104e-01  1.570e-01  2.144e-01  
 1.848e+00  1.200e+01  3.182e+11  1.058e+04  1.103e-01  1.570e-01  2.143e-01   1.103e-01  1.570e-01  2.143e-01  
 1.892e+00  1.200e+01  3.186e+11  1.059e+04  1.102e-01  1.569e-01  2.143e-01   1.102e-01  1.569e-01  2.143e-01  
 1.936e+00  1.200e+01  3.190e+11  1.061e+04  1.102e-01  1.569e-01  2.142e-01   1.102e-01  1.569e-01  2.142e-01  
 1.980e+00  1.200e+01  3.195e+11  1.063e+04  1.119e-01  1.591e-01  2.171e-01   1.119e-01  1.591e-01  2.171e-01  
 2.024e+00  1.200e+01  3.199e+11  1.064e+04  1.118e-01  1.591e-01  2.171e-01   1.118e-01  1.591e-01  2.171e-01  
 2.068e+00  1.200e+01  3.203e+11  1.066e+04  1.117e-01  1.590e-01  2.170e-01   1.117e-01  1.590e-01  2.170e-01  
 2.111e+00  1.200e+01  3.207e+11  1.068e+04  1.117e-01  1.589e-01  2.169e-01   1.117e-01  1.589e-01  2.169e-01  
 2.155e+00  1.200e+01  3.211e+11  1.069e+04  1.116e-01  1.588e-01  2.169e-01   1.116e-01  1.588e-01  2.169e-01  
 2.198e+00  1.200e+01  3.216e+11  1.071e+04  1.115e-01  1.588e-01  2.168e-01   1.115e-01  1.588e-01  2.168e-01  
 2.242e+00  1.200e+01  3.220e+11  1.073e+04  1.115e-01  1.587e-01  2.168e-01   1.115e-01  1.587e-01  2.168e-01  
