 t/Myrs     M/M⊙       R/cm       L/L⊙       lam_g1     lam_b1     lam_h1     lam_g2     lam_b2     lam_h2    
 3.150e-04  1.200e+01  6.416e+10  1.785e+05  1.325e-01  2.079e-01  2.944e-01  1.325e-01  2.079e-01  2.944e-01 
 6.272e-04  1.200e+01  6.482e+10  1.827e+05  1.224e-01  1.969e-01  2.865e-01  1.224e-01  1.969e-01  2.865e-01 
 9.784e-04  1.200e+01  6.532e+10  1.861e+05  1.429e-01  2.155e-01  2.925e-01  1.429e-01  2.155e-01  2.925e-01 
 1.374e-03  1.200e+01  6.570e+10  1.890e+05  1.423e-01  2.198e-01  3.056e-01  1.423e-01  2.198e-01  3.056e-01 
 1.818e-03  1.200e+01  6.598e+10  1.913e+05  1.319e-01  2.059e-01  2.899e-01  1.319e-01  2.059e-01  2.899e-01 
 2.318e-03  1.200e+01  6.618e+10  1.931e+05  1.320e-01  2.064e-01  2.910e-01  1.320e-01  2.064e-01  2.910e-01 
 2.881e-03  1.200e+01  6.632e+10  1.945e+05  1.316e-01  2.089e-01  2.996e-01  1.316e-01  2.089e-01  2.996e-01 
 3.514e-03  1.200e+01  6.641e+10  1.954e+05  1.323e-01  2.137e-01  3.124e-01  1.323e-01  2.137e-01  3.124e-01 
 4.226e-03  1.199e+01  6.648e+10  1.961e+05  1.329e-01  2.152e-01  3.156e-01  1.329e-01  2.152e-01  3.156e-01 
 5.027e-03  1.199e+01  6.652e+10  1.966e+05  1.333e-01  2.178e-01  3.228e-01  1.333e-01  2.178e-01  3.228e-01 
 5.928e-03  1.199e+01  6.655e+10  1.969e+05  1.349e-01  2.214e-01  3.298e-01  1.349e-01  2.214e-01  3.298e-01 
 6.942e-03  1.199e+01  6.658e+10  1.971e+05  1.620e-01  2.455e-01  3.347e-01  1.620e-01  2.455e-01  3.347e-01 
 8.082e-03  1.199e+01  6.661e+10  1.973e+05  1.514e-01  2.289e-01  3.112e-01  1.514e-01  2.289e-01  3.112e-01 
 9.365e-03  1.199e+01  6.664e+10  1.975e+05  1.563e-01  2.377e-01  3.252e-01  1.563e-01  2.377e-01  3.252e-01 
 1.077e-02  1.199e+01  6.668e+10  1.977e+05  1.547e-01  2.375e-01  3.280e-01  1.547e-01  2.375e-01  3.280e-01 
 1.224e-02  1.199e+01  6.671e+10  1.978e+05  1.533e-01  2.370e-01  3.296e-01  1.533e-01  2.370e-01  3.296e-01 
 1.373e-02  1.198e+01  6.675e+10  1.980e+05  1.532e-01  2.405e-01  3.403e-01  1.532e-01  2.405e-01  3.403e-01 
 1.524e-02  1.198e+01  6.678e+10  1.982e+05  1.542e-01  2.426e-01  3.440e-01  1.542e-01  2.426e-01  3.440e-01 
 1.675e-02  1.198e+01  6.682e+10  1.984e+05  1.549e-01  2.461e-01  3.529e-01  1.549e-01  2.461e-01  3.529e-01 
 1.826e-02  1.198e+01  6.685e+10  1.986e+05  1.549e-01  2.464e-01  3.534e-01  1.549e-01  2.464e-01  3.534e-01 
 1.977e-02  1.198e+01  6.689e+10  1.988e+05  1.551e-01  2.475e-01  3.564e-01  1.551e-01  2.475e-01  3.564e-01 
 2.129e-02  1.197e+01  6.692e+10  1.990e+05  1.578e-01  2.544e-01  3.708e-01  1.578e-01  2.544e-01  3.708e-01 
 2.280e-02  1.197e+01  6.696e+10  1.992e+05  1.496e-01  2.386e-01  3.435e-01  1.496e-01  2.386e-01  3.435e-01 
 2.430e-02  1.197e+01  6.700e+10  1.994e+05  1.562e-01  2.574e-01  3.848e-01  1.562e-01  2.574e-01  3.848e-01 
 2.581e-02  1.197e+01  6.704e+10  1.996e+05  1.956e-01  2.949e-01  3.994e-01  1.956e-01  2.949e-01  3.994e-01 
 2.732e-02  1.197e+01  6.708e+10  1.998e+05  1.958e-01  2.954e-01  4.003e-01  1.958e-01  2.954e-01  4.003e-01 
 2.884e-02  1.196e+01  6.711e+10  2.000e+05  1.831e-01  2.740e-01  3.682e-01  1.831e-01  2.740e-01  3.682e-01 
 3.036e-02  1.196e+01  6.714e+10  2.002e+05  1.864e-01  2.795e-01  3.765e-01  1.864e-01  2.795e-01  3.765e-01 
 3.188e-02  1.196e+01  6.717e+10  2.004e+05  1.850e-01  2.793e-01  3.787e-01  1.850e-01  2.793e-01  3.787e-01 
 3.341e-02  1.196e+01  6.720e+10  2.006e+05  1.844e-01  2.792e-01  3.798e-01  1.844e-01  2.792e-01  3.798e-01 
 3.499e-02  1.196e+01  6.724e+10  2.008e+05  1.875e-01  2.847e-01  3.883e-01  1.875e-01  2.847e-01  3.883e-01 
 3.654e-02  1.195e+01  6.727e+10  2.010e+05  1.864e-01  2.853e-01  3.922e-01  1.864e-01  2.853e-01  3.922e-01 
 3.806e-02  1.195e+01  6.731e+10  2.012e+05  1.876e-01  2.876e-01  3.959e-01  1.876e-01  2.876e-01  3.959e-01 
 3.957e-02  1.195e+01  6.734e+10  2.014e+05  1.877e-01  2.879e-01  3.965e-01  1.877e-01  2.879e-01  3.965e-01 
 4.107e-02  1.195e+01  6.737e+10  2.016e+05  1.877e-01  2.880e-01  3.968e-01  1.877e-01  2.880e-01  3.968e-01 
 4.256e-02  1.195e+01  6.741e+10  2.018e+05  1.888e-01  2.900e-01  4.001e-01  1.888e-01  2.900e-01  4.001e-01 
 4.406e-02  1.195e+01  6.744e+10  2.020e+05  1.875e-01  2.878e-01  3.967e-01  1.875e-01  2.878e-01  3.967e-01 
 4.554e-02  1.194e+01  6.748e+10  2.022e+05  1.901e-01  2.925e-01  4.041e-01  1.901e-01  2.925e-01  4.041e-01 
 4.703e-02  1.194e+01  6.751e+10  2.024e+05  1.876e-01  2.881e-01  3.973e-01  1.876e-01  2.881e-01  3.973e-01 
 4.852e-02  1.194e+01  6.756e+10  2.026e+05  1.875e-01  2.881e-01  3.974e-01  1.875e-01  2.881e-01  3.974e-01 
 5.000e-02  1.194e+01  6.761e+10  2.028e+05  1.888e-01  2.904e-01  4.012e-01  1.888e-01  2.904e-01  4.012e-01 
 5.148e-02  1.194e+01  6.764e+10  2.030e+05  1.861e-01  2.858e-01  3.941e-01  1.861e-01  2.858e-01  3.941e-01 
 5.298e-02  1.193e+01  6.768e+10  2.032e+05  1.924e-01  2.970e-01  4.117e-01  1.924e-01  2.970e-01  4.117e-01 
 5.447e-02  1.193e+01  6.772e+10  2.034e+05  1.888e-01  2.907e-01  4.019e-01  1.888e-01  2.907e-01  4.019e-01 
 5.597e-02  1.193e+01  6.776e+10  2.036e+05  1.886e-01  2.905e-01  4.016e-01  1.886e-01  2.905e-01  4.016e-01 
 5.749e-02  1.193e+01  6.779e+10  2.038e+05  1.887e-01  2.907e-01  4.020e-01  1.887e-01  2.907e-01  4.020e-01 
 5.900e-02  1.193e+01  6.782e+10  2.040e+05  1.918e-01  2.963e-01  4.108e-01  1.918e-01  2.963e-01  4.108e-01 
 6.052e-02  1.192e+01  6.786e+10  2.042e+05  1.883e-01  2.903e-01  4.014e-01  1.883e-01  2.903e-01  4.014e-01 
 6.203e-02  1.192e+01  6.789e+10  2.044e+05  1.887e-01  2.910e-01  4.027e-01  1.887e-01  2.910e-01  4.027e-01 
 6.355e-02  1.192e+01  6.791e+10  2.046e+05  1.884e-01  2.906e-01  4.021e-01  1.884e-01  2.906e-01  4.021e-01 
 6.507e-02  1.192e+01  6.795e+10  2.048e+05  1.917e-01  2.965e-01  4.114e-01  1.917e-01  2.965e-01  4.114e-01 
 6.658e-02  1.192e+01  6.797e+10  2.049e+05  1.884e-01  2.908e-01  4.026e-01  1.884e-01  2.908e-01  4.026e-01 
 6.811e-02  1.191e+01  6.801e+10  2.051e+05  1.905e-01  2.945e-01  4.084e-01  1.905e-01  2.945e-01  4.084e-01 
 6.962e-02  1.191e+01  6.802e+10  2.053e+05  1.890e-01  2.919e-01  4.044e-01  1.890e-01  2.919e-01  4.044e-01 
 7.112e-02  1.191e+01  6.805e+10  2.056e+05  1.930e-01  2.957e-01  4.061e-01  1.930e-01  2.957e-01  4.061e-01 
 7.261e-02  1.191e+01  6.808e+10  2.057e+05  1.903e-01  2.910e-01  3.988e-01  1.903e-01  2.910e-01  3.988e-01 
 7.408e-02  1.191e+01  6.811e+10  2.059e+05  1.916e-01  2.934e-01  4.027e-01  1.916e-01  2.934e-01  4.027e-01 
 7.555e-02  1.190e+01  6.814e+10  2.061e+05  1.904e-01  2.913e-01  3.996e-01  1.904e-01  2.913e-01  3.996e-01 
