 t/Myrs     M/M⊙       R/cm       L/L⊙       lam_g1  lam_b1  lam_h1  lam_g2     lam_b2     lam_h2     
 2.211e+00  5.696e+02  2.216e+14  2.920e+07  nan     nan     nan     6.031e-02  3.392e-01  -6.218e-01 
 2.211e+00  5.696e+02  2.217e+14  2.922e+07  nan     nan     nan     5.905e-02  3.371e-01  -5.864e-01 
 2.211e+00  5.696e+02  2.218e+14  2.925e+07  nan     nan     nan     6.662e-02  3.827e-01  -6.540e-01 
 2.211e+00  5.696e+02  2.219e+14  2.928e+07  nan     nan     nan     6.231e-02  3.293e-01  -7.621e-01 
 2.211e+00  5.696e+02  2.221e+14  2.930e+07  nan     nan     nan     6.862e-02  3.722e-01  -7.771e-01 
 2.211e+00  5.696e+02  2.222e+14  2.933e+07  nan     nan     nan     7.188e-02  3.684e-01  -9.734e-01 
 2.211e+00  5.696e+02  2.223e+14  2.935e+07  nan     nan     nan     7.162e-02  3.648e-01  -9.930e-01 
 2.211e+00  5.696e+02  2.224e+14  2.937e+07  nan     nan     nan     7.145e-02  3.732e-01  -9.093e-01 
 2.211e+00  5.696e+02  2.225e+14  2.939e+07  nan     nan     nan     7.018e-02  3.762e-01  -8.250e-01 
 2.211e+00  5.696e+02  2.226e+14  2.941e+07  nan     nan     nan     6.906e-02  3.785e-01  -7.626e-01 
 2.211e+00  5.696e+02  2.226e+14  2.943e+07  nan     nan     nan     6.810e-02  3.832e-01  -7.026e-01 
 2.211e+00  5.696e+02  2.227e+14  2.945e+07  nan     nan     nan     6.681e-02  3.814e-01  -6.655e-01 
 2.211e+00  5.696e+02  2.228e+14  2.947e+07  nan     nan     nan     6.237e-02  3.423e-01  -6.861e-01 
 2.211e+00  5.696e+02  2.229e+14  2.949e+07  nan     nan     nan     6.132e-02  3.416e-01  -6.481e-01 
 2.211e+00  5.696e+02  2.230e+14  2.951e+07  nan     nan     nan     6.037e-02  3.404e-01  -6.185e-01 
 2.211e+00  5.696e+02  2.230e+14  2.953e+07  nan     nan     nan     6.007e-02  3.396e-01  -6.112e-01 
 2.211e+00  5.696e+02  2.231e+14  2.954e+07  nan     nan     nan     5.971e-02  3.392e-01  -6.007e-01 
 2.211e+00  5.696e+02  2.232e+14  2.956e+07  nan     nan     nan     5.867e-02  3.367e-01  -5.755e-01 
 2.211e+00  5.696e+02  2.232e+14  2.957e+07  nan     nan     nan     6.692e-02  3.841e-01  -6.585e-01 
 2.211e+00  5.696e+02  2.233e+14  2.959e+07  nan     nan     nan     6.256e-02  3.308e-01  -7.638e-01 
 2.211e+00  5.696e+02  2.234e+14  2.960e+07  nan     nan     nan     5.220e-02  3.141e-01  -4.601e-01 
 2.211e+00  5.696e+02  2.234e+14  2.961e+07  nan     nan     nan     5.947e-02  3.283e-01  -6.406e-01 
 2.211e+00  5.696e+02  2.235e+14  2.963e+07  nan     nan     nan     6.368e-02  3.340e-01  -7.974e-01 
 2.211e+00  5.696e+02  2.235e+14  2.964e+07  nan     nan     nan     7.020e-02  3.691e-01  -8.727e-01 
 2.211e+00  5.696e+02  2.236e+14  2.965e+07  nan     nan     nan     7.071e-02  3.757e-01  -8.519e-01 
 2.211e+00  5.696e+02  2.236e+14  2.966e+07  nan     nan     nan     6.927e-02  3.777e-01  -7.748e-01 
 2.211e+00  5.696e+02  2.237e+14  2.967e+07  nan     nan     nan     6.763e-02  3.782e-01  -7.076e-01 
 2.211e+00  5.696e+02  2.237e+14  2.968e+07  nan     nan     nan     6.296e-02  3.428e-01  -7.077e-01 
 2.211e+00  5.696e+02  2.238e+14  2.969e+07  nan     nan     nan     6.123e-02  3.407e-01  -6.488e-01 
 2.211e+00  5.696e+02  2.238e+14  2.970e+07  nan     nan     nan     5.978e-02  3.385e-01  -6.060e-01 
 2.211e+00  5.696e+02  2.238e+14  2.970e+07  nan     nan     nan     7.657e-02  3.842e-01  -1.136e+00 
 2.211e+00  5.696e+02  2.239e+14  2.971e+07  nan     nan     nan     6.671e-02  3.832e-01  -6.551e-01 
 2.211e+00  5.696e+02  2.239e+14  2.972e+07  nan     nan     nan     6.617e-02  3.672e-01  -7.038e-01 
 2.211e+00  5.696e+02  2.239e+14  2.972e+07  nan     nan     nan     6.998e-02  3.729e-01  -8.343e-01 
 2.211e+00  5.696e+02  2.240e+14  2.973e+07  nan     nan     nan     7.107e-02  3.684e-01  -9.259e-01 
 2.211e+00  5.696e+02  2.240e+14  2.973e+07  nan     nan     nan     7.078e-02  3.762e-01  -8.525e-01 
 2.211e+00  5.696e+02  2.240e+14  2.974e+07  nan     nan     nan     6.923e-02  3.764e-01  -7.816e-01 
 2.211e+00  5.696e+02  2.240e+14  2.974e+07  nan     nan     nan     6.798e-02  3.824e-01  -7.015e-01 
 2.211e+00  5.696e+02  2.240e+14  2.975e+07  nan     nan     nan     6.270e-02  3.424e-01  -6.992e-01 
 2.211e+00  5.696e+02  2.241e+14  2.975e+07  nan     nan     nan     6.125e-02  3.410e-01  -6.482e-01 
 2.211e+00  5.696e+02  2.241e+14  2.975e+07  nan     nan     nan     6.014e-02  3.399e-01  -6.126e-01 
 2.211e+00  5.696e+02  2.241e+14  2.975e+07  nan     nan     nan     5.937e-02  3.380e-01  -5.942e-01 
 2.211e+00  5.696e+02  2.241e+14  2.976e+07  nan     nan     nan     6.692e-02  3.843e-01  -6.578e-01 
 2.211e+00  5.696e+02  2.241e+14  2.976e+07  nan     nan     nan     6.033e-02  3.292e-01  -6.713e-01 
 2.211e+00  5.696e+02  2.241e+14  2.976e+07  nan     nan     nan     6.926e-02  3.732e-01  -7.989e-01 
 2.211e+00  5.696e+02  2.241e+14  2.976e+07  nan     nan     nan     7.150e-02  3.746e-01  -8.992e-01 
 2.211e+00  5.696e+02  2.241e+14  2.976e+07  nan     nan     nan     7.032e-02  3.781e-01  -8.186e-01 
 2.211e+00  5.696e+02  2.241e+14  2.976e+07  nan     nan     nan     6.839e-02  3.796e-01  -7.299e-01 
 2.211e+00  5.696e+02  2.241e+14  2.976e+07  nan     nan     nan     6.303e-02  3.437e-01  -7.064e-01 
