 t/Myrs     M/M⊙       R/cm       L/L⊙       lam_g1     lam_b1     lam_h1     lam_g2     lam_b2     lam_h2     
 3.887e-01  8.998e+01  6.440e+11  1.120e+06  1.312e-01  2.190e-01  3.222e-01  1.312e-01  2.190e-01  3.222e-01  
 3.950e-01  8.998e+01  6.445e+11  1.121e+06  1.295e-01  2.156e-01  3.162e-01  1.295e-01  2.156e-01  3.162e-01  
 4.013e-01  8.998e+01  6.451e+11  1.122e+06  1.294e-01  2.155e-01  3.161e-01  1.294e-01  2.155e-01  3.161e-01  
 4.075e-01  8.998e+01  6.456e+11  1.124e+06  1.293e-01  2.155e-01  3.161e-01  1.293e-01  2.155e-01  3.161e-01  
 4.138e-01  8.998e+01  6.461e+11  1.125e+06  1.303e-01  2.175e-01  3.199e-01  1.303e-01  2.175e-01  3.199e-01  
 4.200e-01  8.998e+01  6.467e+11  1.126e+06  1.300e-01  2.171e-01  3.193e-01  1.300e-01  2.171e-01  3.193e-01  
 4.262e-01  8.998e+01  6.472e+11  1.127e+06  1.299e-01  2.171e-01  3.193e-01  1.299e-01  2.171e-01  3.193e-01  
 4.325e-01  8.998e+01  6.477e+11  1.128e+06  1.298e-01  2.170e-01  3.193e-01  1.298e-01  2.170e-01  3.193e-01  
 4.387e-01  8.998e+01  6.483e+11  1.129e+06  1.287e-01  2.175e-01  3.240e-01  1.287e-01  2.175e-01  3.240e-01  
 4.449e-01  8.998e+01  6.488e+11  1.130e+06  1.287e-01  2.174e-01  3.240e-01  1.287e-01  2.174e-01  3.240e-01  
 4.511e-01  8.998e+01  6.493e+11  1.131e+06  1.286e-01  2.173e-01  3.239e-01  1.286e-01  2.173e-01  3.239e-01  
 4.572e-01  8.998e+01  6.499e+11  1.132e+06  1.285e-01  2.173e-01  3.239e-01  1.285e-01  2.173e-01  3.239e-01  
 4.634e-01  8.998e+01  6.504e+11  1.134e+06  1.284e-01  2.172e-01  3.239e-01  1.284e-01  2.172e-01  3.239e-01  
 4.695e-01  8.998e+01  6.509e+11  1.135e+06  1.284e-01  2.172e-01  3.241e-01  1.284e-01  2.172e-01  3.241e-01  
 4.757e-01  8.998e+01  6.515e+11  1.136e+06  1.283e-01  2.172e-01  3.240e-01  1.283e-01  2.172e-01  3.240e-01  
 4.818e-01  8.998e+01  6.520e+11  1.137e+06  1.276e-01  2.159e-01  3.217e-01  1.276e-01  2.159e-01  3.217e-01  
 4.879e-01  8.998e+01  6.526e+11  1.138e+06  1.281e-01  2.169e-01  3.238e-01  1.281e-01  2.169e-01  3.238e-01  
 4.940e-01  8.998e+01  6.531e+11  1.139e+06  1.280e-01  2.168e-01  3.238e-01  1.280e-01  2.168e-01  3.238e-01  
 5.001e-01  8.998e+01  6.536e+11  1.140e+06  1.261e-01  2.175e-01  3.317e-01  1.261e-01  2.175e-01  3.317e-01  
 5.062e-01  8.998e+01  6.542e+11  1.141e+06  1.261e-01  2.174e-01  3.317e-01  1.261e-01  2.174e-01  3.317e-01  
 5.123e-01  8.997e+01  6.547e+11  1.142e+06  1.260e-01  2.174e-01  3.316e-01  1.260e-01  2.174e-01  3.316e-01  
 5.184e-01  8.997e+01  6.553e+11  1.143e+06  1.259e-01  2.173e-01  3.316e-01  1.259e-01  2.173e-01  3.316e-01  
 5.245e-01  8.997e+01  6.558e+11  1.145e+06  1.258e-01  2.172e-01  3.316e-01  1.258e-01  2.172e-01  3.316e-01  
 5.305e-01  8.997e+01  6.564e+11  1.146e+06  1.259e-01  2.175e-01  3.322e-01  1.259e-01  2.175e-01  3.322e-01  
 5.366e-01  8.997e+01  6.569e+11  1.147e+06  1.258e-01  2.174e-01  3.322e-01  1.258e-01  2.174e-01  3.322e-01  
 5.426e-01  8.997e+01  6.575e+11  1.148e+06  1.257e-01  2.173e-01  3.322e-01  1.257e-01  2.173e-01  3.322e-01  
 5.487e-01  8.997e+01  6.581e+11  1.149e+06  1.257e-01  2.173e-01  3.321e-01  1.257e-01  2.173e-01  3.321e-01  
 5.547e-01  8.997e+01  6.586e+11  1.150e+06  1.255e-01  2.170e-01  3.319e-01  1.255e-01  2.170e-01  3.319e-01  
 5.607e-01  8.997e+01  6.592e+11  1.151e+06  1.254e-01  2.169e-01  3.318e-01  1.254e-01  2.169e-01  3.318e-01  
 5.667e-01  8.997e+01  6.597e+11  1.152e+06  1.252e-01  2.166e-01  3.314e-01  1.252e-01  2.166e-01  3.314e-01  
 5.728e-01  8.997e+01  6.603e+11  1.153e+06  1.251e-01  2.165e-01  3.314e-01  1.251e-01  2.165e-01  3.314e-01  
 5.788e-01  8.997e+01  6.609e+11  1.154e+06  1.250e-01  2.165e-01  3.313e-01  1.250e-01  2.165e-01  3.313e-01  
 5.847e-01  8.997e+01  6.614e+11  1.155e+06  1.249e-01  2.164e-01  3.313e-01  1.249e-01  2.164e-01  3.313e-01  
 5.907e-01  8.997e+01  6.620e+11  1.157e+06  1.478e-01  2.349e-01  3.266e-01  1.478e-01  2.349e-01  3.266e-01  
 5.967e-01  8.997e+01  6.625e+11  1.158e+06  1.477e-01  2.348e-01  3.266e-01  1.477e-01  2.348e-01  3.266e-01  
 6.026e-01  8.997e+01  6.631e+11  1.159e+06  1.476e-01  2.347e-01  3.265e-01  1.476e-01  2.347e-01  3.265e-01  
 6.086e-01  8.997e+01  6.637e+11  1.160e+06  1.475e-01  2.346e-01  3.265e-01  1.475e-01  2.346e-01  3.265e-01  
 6.145e-01  8.997e+01  6.642e+11  1.161e+06  1.474e-01  2.345e-01  3.264e-01  1.474e-01  2.345e-01  3.264e-01  
 6.204e-01  8.997e+01  6.648e+11  1.162e+06  1.483e-01  2.363e-01  3.294e-01  1.483e-01  2.363e-01  3.294e-01  
 6.263e-01  8.997e+01  6.654e+11  1.163e+06  1.484e-01  2.367e-01  3.300e-01  1.484e-01  2.367e-01  3.300e-01  
 6.322e-01  8.997e+01  6.659e+11  1.164e+06  1.483e-01  2.366e-01  3.300e-01  1.483e-01  2.366e-01  3.300e-01  
 6.381e-01  8.997e+01  6.665e+11  1.165e+06  1.483e-01  2.365e-01  3.299e-01  1.483e-01  2.365e-01  3.299e-01  
