 t/Myrs     M/M⊙       R/cm       L/L⊙       lam_g1     lam_b1     lam_h1      lam_g2     lam_b2     lam_h2     
 4.048e-01  7.987e+01  7.083e+11  9.062e+05  1.476e-01  2.294e-01  3.146e-01   1.476e-01  2.294e-01  3.146e-01  
 4.116e-01  7.987e+01  7.089e+11  9.071e+05  1.475e-01  2.293e-01  3.146e-01   1.475e-01  2.293e-01  3.146e-01  
 4.183e-01  7.986e+01  7.095e+11  9.080e+05  1.502e-01  2.343e-01  3.225e-01   1.502e-01  2.343e-01  3.225e-01  
 4.250e-01  7.986e+01  7.101e+11  9.089e+05  1.469e-01  2.285e-01  3.137e-01   1.469e-01  2.285e-01  3.137e-01  
 4.317e-01  7.986e+01  7.107e+11  9.098e+05  1.483e-01  2.311e-01  3.179e-01   1.483e-01  2.311e-01  3.179e-01  
 4.384e-01  7.986e+01  7.113e+11  9.107e+05  1.467e-01  2.283e-01  3.137e-01   1.467e-01  2.283e-01  3.137e-01  
 4.451e-01  7.985e+01  7.119e+11  9.116e+05  1.468e-01  2.301e-01  3.184e-01   1.468e-01  2.301e-01  3.184e-01  
 4.518e-01  7.985e+01  7.125e+11  9.126e+05  1.478e-01  2.306e-01  3.175e-01   1.478e-01  2.306e-01  3.175e-01  
 4.585e-01  7.985e+01  7.131e+11  9.135e+05  1.476e-01  2.304e-01  3.173e-01   1.476e-01  2.304e-01  3.173e-01  
 4.651e-01  7.985e+01  7.137e+11  9.144e+05  1.473e-01  2.300e-01  3.168e-01   1.473e-01  2.300e-01  3.168e-01  
 4.718e-01  7.984e+01  7.144e+11  9.153e+05  1.472e-01  2.299e-01  3.168e-01   1.472e-01  2.299e-01  3.168e-01  
 4.784e-01  7.984e+01  7.150e+11  9.162e+05  1.471e-01  2.298e-01  3.167e-01   1.471e-01  2.298e-01  3.167e-01  
 4.850e-01  7.984e+01  7.156e+11  9.171e+05  1.454e-01  2.284e-01  3.166e-01   1.454e-01  2.284e-01  3.166e-01  
 4.917e-01  7.984e+01  7.162e+11  9.180e+05  1.447e-01  2.271e-01  3.145e-01   1.447e-01  2.271e-01  3.145e-01  
 4.983e-01  7.983e+01  7.168e+11  9.189e+05  1.446e-01  2.270e-01  3.145e-01   1.446e-01  2.270e-01  3.145e-01  
 5.048e-01  7.983e+01  7.174e+11  9.198e+05  1.445e-01  2.269e-01  3.144e-01   1.445e-01  2.269e-01  3.144e-01  
 5.114e-01  7.983e+01  7.181e+11  9.207e+05  1.444e-01  2.269e-01  3.144e-01   1.444e-01  2.269e-01  3.144e-01  
 5.180e-01  7.983e+01  7.187e+11  9.216e+05  1.436e-01  2.256e-01  3.124e-01   1.436e-01  2.256e-01  3.124e-01  
 5.245e-01  7.982e+01  7.193e+11  9.225e+05  1.436e-01  2.255e-01  3.124e-01   1.436e-01  2.255e-01  3.124e-01  
 5.311e-01  7.982e+01  7.199e+11  9.234e+05  1.442e-01  2.267e-01  3.144e-01   1.442e-01  2.267e-01  3.144e-01  
 5.376e-01  7.982e+01  7.206e+11  9.243e+05  1.434e-01  2.254e-01  3.124e-01   1.434e-01  2.254e-01  3.124e-01  
 5.442e-01  7.982e+01  7.212e+11  9.252e+05  1.439e-01  2.265e-01  3.142e-01   1.439e-01  2.265e-01  3.142e-01  
 5.507e-01  7.982e+01  7.218e+11  9.261e+05  1.431e-01  2.251e-01  3.121e-01   1.431e-01  2.251e-01  3.121e-01  
 5.572e-01  7.981e+01  7.224e+11  9.270e+05  1.437e-01  2.263e-01  3.141e-01   1.437e-01  2.263e-01  3.141e-01  
