 t/Myrs     M/M⊙       R/cm       L/L⊙       lam_g1     lam_b1      lam_h1      lam_g2     lam_b2      lam_h2     
 5.414e+01  6.400e+00  3.238e+12  3.668e+03  4.385e-02  7.407e-02   1.278e-01   2.782e-02  4.971e-02   9.595e-02  
 5.414e+01  6.400e+00  3.279e+12  3.656e+03  4.342e-02  7.352e-02   1.273e-01   2.748e-02  4.915e-02   9.506e-02  
 5.414e+01  6.400e+00  3.321e+12  3.644e+03  4.329e-02  7.333e-02   1.271e-01   2.737e-02  4.899e-02   9.480e-02  
 5.414e+01  6.400e+00  3.364e+12  3.632e+03  4.319e-02  7.319e-02   1.269e-01   2.729e-02  4.884e-02   9.456e-02  
 5.414e+01  6.400e+00  3.407e+12  3.619e+03  4.305e-02  7.301e-02   1.267e-01   2.714e-02  4.861e-02   9.415e-02  
 5.414e+01  6.400e+00  3.450e+12  3.607e+03  4.334e-02  7.345e-02   1.273e-01   2.730e-02  4.889e-02   9.468e-02  
 5.414e+01  6.400e+00  3.494e+12  3.595e+03  4.324e-02  7.332e-02   1.271e-01   2.721e-02  4.875e-02   9.444e-02  
 5.414e+01  6.400e+00  3.539e+12  3.582e+03  4.271e-02  7.256e-02   1.262e-01   2.684e-02  4.811e-02   9.335e-02  
 5.414e+01  6.400e+00  3.584e+12  3.570e+03  4.084e-02  6.998e-02   1.236e-01   2.544e-02  4.572e-02   8.920e-02  
 5.414e+01  6.400e+00  3.629e+12  3.557e+03  3.955e-02  6.814e-02   1.216e-01   3.149e-02  5.580e-02   1.055e-01  
 5.414e+01  6.400e+00  3.675e+12  3.545e+03  3.943e-02  6.797e-02   1.214e-01   3.137e-02  5.561e-02   1.052e-01  
 5.414e+01  6.400e+00  3.721e+12  3.532e+03  3.933e-02  6.785e-02   1.213e-01   3.122e-02  5.538e-02   1.048e-01  
 5.414e+01  6.400e+00  3.768e+12  3.519e+03  3.927e-02  6.777e-02   1.212e-01   3.113e-02  5.523e-02   1.046e-01  
 5.414e+01  6.400e+00  3.816e+12  3.506e+03  3.917e-02  6.765e-02   1.211e-01   3.101e-02  5.506e-02   1.043e-01  
