 t/Myrs     M/M⊙       R/cm       L/L⊙       lam_g1     lam_b1     lam_h1     lam_g2     lam_b2     lam_h2    
 4.808e+01  2.600e+00  1.138e+11  6.182e+01  9.189e-02  1.324e-01  1.868e-01  9.189e-02  1.324e-01  1.868e-01 
 4.913e+01  2.600e+00  1.140e+11  6.189e+01  9.185e-02  1.323e-01  1.868e-01  9.185e-02  1.323e-01  1.868e-01 
 5.017e+01  2.600e+00  1.141e+11  6.197e+01  9.180e-02  1.323e-01  1.867e-01  9.180e-02  1.323e-01  1.867e-01 
 5.122e+01  2.600e+00  1.142e+11  6.204e+01  9.176e-02  1.322e-01  1.867e-01  9.176e-02  1.322e-01  1.867e-01 
 5.226e+01  2.600e+00  1.144e+11  6.211e+01  9.173e-02  1.322e-01  1.867e-01  9.173e-02  1.322e-01  1.867e-01 
 5.330e+01  2.600e+00  1.145e+11  6.218e+01  9.168e-02  1.321e-01  1.866e-01  9.168e-02  1.321e-01  1.866e-01 
 5.434e+01  2.600e+00  1.146e+11  6.225e+01  9.338e-02  1.344e-01  1.893e-01  9.338e-02  1.344e-01  1.893e-01 
 5.537e+01  2.600e+00  1.148e+11  6.233e+01  9.334e-02  1.343e-01  1.893e-01  9.334e-02  1.343e-01  1.893e-01 
 5.641e+01  2.600e+00  1.149e+11  6.240e+01  9.329e-02  1.343e-01  1.892e-01  9.329e-02  1.343e-01  1.892e-01 
 5.744e+01  2.600e+00  1.150e+11  6.248e+01  9.151e-02  1.320e-01  1.864e-01  9.151e-02  1.320e-01  1.864e-01 
 5.848e+01  2.600e+00  1.152e+11  6.255e+01  9.147e-02  1.319e-01  1.864e-01  9.147e-02  1.319e-01  1.864e-01 
 5.951e+01  2.600e+00  1.153e+11  6.262e+01  9.142e-02  1.319e-01  1.863e-01  9.142e-02  1.319e-01  1.863e-01 
 6.054e+01  2.600e+00  1.154e+11  6.270e+01  9.138e-02  1.318e-01  1.863e-01  9.138e-02  1.318e-01  1.863e-01 
 6.156e+01  2.600e+00  1.155e+11  6.277e+01  9.153e-02  1.319e-01  1.862e-01  9.153e-02  1.319e-01  1.862e-01 
 6.259e+01  2.600e+00  1.157e+11  6.285e+01  9.149e-02  1.319e-01  1.862e-01  9.149e-02  1.319e-01  1.862e-01 
 6.362e+01  2.600e+00  1.158e+11  6.292e+01  9.145e-02  1.318e-01  1.861e-01  9.145e-02  1.318e-01  1.861e-01 
 6.464e+01  2.600e+00  1.159e+11  6.300e+01  9.296e-02  1.339e-01  1.889e-01  9.296e-02  1.339e-01  1.889e-01 
 6.566e+01  2.600e+00  1.160e+11  6.307e+01  9.291e-02  1.338e-01  1.888e-01  9.291e-02  1.338e-01  1.888e-01 
 6.668e+01  2.600e+00  1.162e+11  6.315e+01  9.287e-02  1.338e-01  1.888e-01  9.287e-02  1.338e-01  1.888e-01 
 6.770e+01  2.600e+00  1.163e+11  6.322e+01  9.282e-02  1.338e-01  1.888e-01  9.282e-02  1.338e-01  1.888e-01 
 6.872e+01  2.600e+00  1.164e+11  6.330e+01  9.278e-02  1.337e-01  1.887e-01  9.278e-02  1.337e-01  1.887e-01 
 6.974e+01  2.600e+00  1.165e+11  6.338e+01  9.275e-02  1.337e-01  1.887e-01  9.275e-02  1.337e-01  1.887e-01 
 7.075e+01  2.600e+00  1.167e+11  6.345e+01  9.271e-02  1.336e-01  1.887e-01  9.271e-02  1.336e-01  1.887e-01 
 7.177e+01  2.600e+00  1.168e+11  6.353e+01  9.112e-02  1.315e-01  1.858e-01  9.112e-02  1.315e-01  1.858e-01 
 7.278e+01  2.600e+00  1.169e+11  6.361e+01  9.108e-02  1.314e-01  1.858e-01  9.108e-02  1.314e-01  1.858e-01 
 7.379e+01  2.600e+00  1.170e+11  6.368e+01  9.104e-02  1.314e-01  1.857e-01  9.104e-02  1.314e-01  1.857e-01 
 7.480e+01  2.600e+00  1.172e+11  6.376e+01  9.099e-02  1.313e-01  1.857e-01  9.099e-02  1.313e-01  1.857e-01 
 7.581e+01  2.600e+00  1.173e+11  6.384e+01  9.095e-02  1.313e-01  1.857e-01  9.095e-02  1.313e-01  1.857e-01 
 7.682e+01  2.600e+00  1.174e+11  6.391e+01  9.091e-02  1.312e-01  1.856e-01  9.091e-02  1.312e-01  1.856e-01 
 7.782e+01  2.600e+00  1.175e+11  6.399e+01  9.087e-02  1.312e-01  1.856e-01  9.087e-02  1.312e-01  1.856e-01 
 7.883e+01  2.600e+00  1.177e+11  6.407e+01  9.083e-02  1.311e-01  1.856e-01  9.083e-02  1.311e-01  1.856e-01 
 7.983e+01  2.600e+00  1.178e+11  6.415e+01  9.232e-02  1.332e-01  1.883e-01  9.232e-02  1.332e-01  1.883e-01 
 8.083e+01  2.600e+00  1.179e+11  6.422e+01  9.228e-02  1.331e-01  1.882e-01  9.228e-02  1.331e-01  1.882e-01 
 8.183e+01  2.600e+00  1.180e+11  6.430e+01  9.454e-02  1.361e-01  1.919e-01  9.454e-02  1.361e-01  1.919e-01 
 8.283e+01  2.600e+00  1.182e+11  6.438e+01  9.451e-02  1.361e-01  1.919e-01  9.451e-02  1.361e-01  1.919e-01 
 8.383e+01  2.600e+00  1.183e+11  6.446e+01  9.215e-02  1.330e-01  1.881e-01  9.215e-02  1.330e-01  1.881e-01 
 8.483e+01  2.600e+00  1.184e+11  6.454e+01  9.211e-02  1.330e-01  1.881e-01  9.211e-02  1.330e-01  1.881e-01 
 8.582e+01  2.600e+00  1.185e+11  6.461e+01  9.207e-02  1.329e-01  1.880e-01  9.207e-02  1.329e-01  1.880e-01 
 8.681e+01  2.600e+00  1.186e+11  6.469e+01  9.203e-02  1.329e-01  1.880e-01  9.203e-02  1.329e-01  1.880e-01 
 8.781e+01  2.600e+00  1.188e+11  6.477e+01  9.198e-02  1.328e-01  1.879e-01  9.198e-02  1.328e-01  1.879e-01 
