 t/Myrs     M/M⊙       R/cm       L/L⊙       lam_g1     lam_b1     lam_h1      lam_g2     lam_b2     lam_h2    
 4.571e-01  3.491e+01  5.230e+11  1.740e+05  1.362e-01  1.994e-01  2.698e-01   1.362e-01  1.994e-01  2.698e-01 
 4.693e-01  3.490e+01  5.236e+11  1.742e+05  1.326e-01  1.940e-01  2.621e-01   1.326e-01  1.940e-01  2.621e-01 
 4.816e-01  3.490e+01  5.242e+11  1.745e+05  1.313e-01  1.919e-01  2.593e-01   1.313e-01  1.919e-01  2.593e-01 
 4.938e-01  3.490e+01  5.248e+11  1.747e+05  1.313e-01  1.919e-01  2.593e-01   1.313e-01  1.919e-01  2.593e-01 
 5.060e-01  3.490e+01  5.254e+11  1.749e+05  1.325e-01  1.938e-01  2.620e-01   1.325e-01  1.938e-01  2.620e-01 
 5.182e-01  3.489e+01  5.260e+11  1.751e+05  1.311e-01  1.918e-01  2.592e-01   1.311e-01  1.918e-01  2.592e-01 
 5.304e-01  3.489e+01  5.266e+11  1.754e+05  1.347e-01  1.974e-01  2.673e-01   1.347e-01  1.974e-01  2.673e-01 
 5.426e-01  3.489e+01  5.271e+11  1.756e+05  1.346e-01  1.973e-01  2.673e-01   1.346e-01  1.973e-01  2.673e-01 
 5.547e-01  3.489e+01  5.277e+11  1.758e+05  1.333e-01  1.968e-01  2.686e-01   1.333e-01  1.968e-01  2.686e-01 
 5.669e-01  3.488e+01  5.283e+11  1.760e+05  1.332e-01  1.968e-01  2.686e-01   1.332e-01  1.968e-01  2.686e-01 
 5.790e-01  3.488e+01  5.289e+11  1.763e+05  1.332e-01  1.967e-01  2.686e-01   1.332e-01  1.967e-01  2.686e-01 
 5.911e-01  3.488e+01  5.294e+11  1.765e+05  1.323e-01  1.953e-01  2.665e-01   1.323e-01  1.953e-01  2.665e-01 
 6.031e-01  3.487e+01  5.300e+11  1.767e+05  1.322e-01  1.953e-01  2.665e-01   1.322e-01  1.953e-01  2.665e-01 
 6.151e-01  3.487e+01  5.305e+11  1.769e+05  1.328e-01  1.963e-01  2.682e-01   1.328e-01  1.963e-01  2.682e-01 
 6.272e-01  3.487e+01  5.311e+11  1.772e+05  1.328e-01  1.963e-01  2.683e-01   1.328e-01  1.963e-01  2.683e-01 
 6.392e-01  3.487e+01  5.317e+11  1.774e+05  1.303e-01  1.925e-01  2.627e-01   1.303e-01  1.925e-01  2.627e-01 
 6.511e-01  3.486e+01  5.322e+11  1.776e+05  1.240e-01  1.824e-01  2.479e-01   1.240e-01  1.824e-01  2.479e-01 
 6.630e-01  3.486e+01  5.328e+11  1.778e+05  1.316e-01  1.945e-01  2.658e-01   1.316e-01  1.945e-01  2.658e-01 
